Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,119.599998,120.239998,119.550003,119.830002,100.759483,2523600
2015-01-05,120.190002,120.680000,120.089996,120.320000,101.171494,3218800
2015-01-06,120.650002,121.169998,120.470001,120.809998,101.583511,5313400
2015-01-07,120.639999,121.050003,120.510002,120.970001,101.718048,1636600
2015-01-08,120.650002,120.669998,120.370003,120.580002,101.390121,2156900
2015-01-09,120.419998,121.019997,120.389999,120.900002,101.659195,1530400
2015-01-12,120.940002,121.190002,120.870003,121.129997,101.852600,1948000
2015-01-13,121.129997,121.279999,120.910004,121.239998,101.945061,1468300
2015-01-14,121.709999,121.820000,121.349998,121.449997,102.121674,2457000
2015-01-15,121.529999,122.269997,121.449997,122.080002,102.651421,2171300
2015-01-16,121.709999,121.910004,121.230003,121.400002,102.079636,1322500
2015-01-20,121.709999,122.059998,121.629997,121.680000,102.315033,1648900
2015-01-21,122.080002,122.110001,121.320000,121.629997,102.273010,1878000
2015-01-22,121.879997,121.959999,121.250000,121.570000,102.222588,1938400
2015-01-23,122.089996,122.410004,122.040001,122.279999,102.819580,1436300
2015-01-26,122.349998,122.470001,122.000000,122.250000,102.794350,2347900
2015-01-27,122.680000,122.830002,122.199997,122.339996,102.870026,1268000
2015-01-28,122.389999,123.339996,122.370003,123.169998,103.567947,1367900
2015-01-29,122.860001,123.029999,122.690002,122.879997,103.324112,1674500
2015-01-30,123.550003,123.900002,123.430000,123.889999,104.173355,3499000
2015-02-02,123.239998,123.720001,123.050003,123.669998,104.270287,5684700
2015-02-03,123.059998,123.190002,122.519997,122.669998,103.427177,2828500
2015-02-04,122.260002,122.870003,122.190002,122.839996,103.570526,3209500
2015-02-05,122.589996,122.690002,122.360001,122.449997,103.241669,1789300
2015-02-06,121.959999,122.089996,121.139999,121.169998,102.162468,2578400
2015-02-09,121.559998,121.620003,121.110001,121.250000,102.229912,2426900
2015-02-10,121.230003,121.300003,120.889999,120.919998,101.951698,2580300
